userId,movieId,rating,timestamp
269,405,1,891450902
297,277,3,875048641
62,527,4,879373692
221,17,4,875245406
11,743,2,891904065
230,50,5,880484755
159,930,4,880557824
174,107,5,886434361
97,7,5,884238939
84,289,5,883449419
63,948,3,875746948
125,143,5,879454793
160,126,3,876769148
316,483,4,880853810
32,117,3,883717555
327,93,4,887744432
13,856,5,886303171
216,202,4,880234346
92,1212,3,876175626
1,140,1,878543133
263,183,4,891298655
5,173,4,875636675
85,372,4,879828720
194,519,4,879521474
109,550,5,880579107
201,198,4,884111873
340,172,4,884990620
49,117,1,888069459
7,642,3,892132277
239,286,1,889178512
198,568,3,884208710
237,23,4,879376606
239,135,5,889178762
5,241,1,875720948
72,382,4,880036691
297,480,4,875238923
249,826,1,879640481
25,127,3,885853030
94,227,3,891722759
195,591,4,892281779
92,85,3,875812364
85,709,5,879828941
308,502,5,887739521
311,117,4,884366852
247,251,4,893081395
235,792,4,889655490
329,326,3,891656639
338,79,4,879438715
244,428,4,880606155
187,70,4,879465394
