userId,movieId,rating,timestamp
782,340,3,891497963
694,385,4,875730082
833,264,2,878077967
896,496,4,887158029
840,209,4,891204418
503,116,5,879438559
943,97,2,888639445
715,85,3,875964300
749,809,3,878848673
690,77,3,881179906
747,185,5,888640437
592,463,4,882956321
810,881,4,879895350
897,684,2,879991524
244,188,4,880605869
892,641,5,886607845
405,378,4,885546379
701,312,3,891446730
198,151,4,884206401
889,1139,1,880182582
804,737,3,879444781
1,15,5,875071608
838,174,4,887066078
788,651,4,880868838
541,90,4,883866093
896,393,3,887159464
889,739,3,880182517
932,524,5,891249675
57,1,5,883698581
931,471,3,891036506
354,1039,4,891217249
919,300,4,875288164
936,1009,4,886833231
883,210,4,891723351
870,132,4,882123548
435,406,3,884134810
393,248,4,887744202
549,24,3,881672556
875,462,4,876465188
916,978,1,880843949
570,321,1,881262795
916,863,3,880846735
823,25,3,878438642
901,195,5,877131118
393,1,3,887743611
727,17,1,883711011
774,1090,1,888558419
788,566,4,880869908
758,276,2,881976574
856,312,2,891489450
