userId,movieId,rating,timestamp
191,307,3,891560935
48,50,4,879434723
298,195,4,884183277
171,245,3,891034801
339,82,4,891035850
81,926,3,876533824
207,42,4,877878688
269,153,3,891449346
303,1071,2,879485352
7,54,3,892132380
339,198,5,891033382
11,435,4,891904968
23,421,5,874786770
188,511,2,875072211
137,327,4,881432671
76,690,2,882607017
38,720,5,892432424
221,1035,3,875246124
59,928,4,888203449
13,814,5,886302261
318,315,5,884470294
342,607,3,875318963
200,121,5,876042268
269,654,4,891448980
7,89,5,891351082
136,847,4,882693371
254,243,2,887347834
183,483,5,892323452
84,265,5,883453617
151,193,4,879524491
70,751,4,884063601
314,938,3,877886099
291,1239,2,874835279
234,192,3,892078984
38,67,4,892434312
156,12,3,888185853
56,228,3,892676340
354,463,4,891217575
311,178,5,884364437
122,214,2,879270676
314,591,5,877887002
1,258,5,878873389
230,209,1,880485283
42,142,4,881109271
328,750,4,885044519
130,357,5,875216933
267,464,5,878974783
267,324,3,878970114
190,300,4,891033606
276,853,5,889174849
