userId,movieId,rating,timestamp
537,24,1,886030176
757,399,3,888466782
682,723,1,888518063
271,474,3,885848518
703,7,4,875242599
705,1,5,883427101
629,423,5,880117333
711,463,5,879993959
747,48,5,888639890
450,90,4,887660650
621,401,1,874963210
615,175,5,879448439
344,742,3,884900248
525,124,3,881086108
601,153,4,876350060
469,511,5,879524062
52,100,4,882922204
455,709,3,879111471
260,258,3,890618198
707,735,4,886286792
407,209,5,875042378
267,198,5,878971745
479,510,4,879461337
648,679,3,884882802
756,367,4,874827614
500,118,3,883865610
669,127,5,891260596
549,127,5,881672441
594,50,3,874783018
513,222,5,885062519
480,258,3,891207859
403,291,4,879790319
178,79,4,882826306
751,301,5,887134816
388,100,3,886437039
635,276,3,878879257
487,423,4,883446685
672,1028,4,879789030
293,1421,2,888907794
373,99,5,877099091
417,451,4,879649266
141,291,5,884585220
627,191,4,879529957
274,200,4,878946612
682,862,1,888522021
532,135,3,888629938
531,245,4,887049049
268,1118,3,875310673
560,240,3,879976970
437,428,5,881001983
