userId,movieId,rating,timestamp
494,845,4,879541429
207,208,4,878191679
210,1,5,887731052
868,56,3,877107143
453,273,4,877552678
592,410,5,882608402
919,144,4,875373889
13,174,4,882139829
927,560,2,879191978
933,179,5,874854135
530,443,4,883790943
697,1089,3,882621958
727,66,3,883712068
632,64,5,879457525
299,642,4,877881276
807,96,3,892528564
863,1243,4,889289277
303,783,2,879543756
663,173,3,889493818
712,230,3,874730467
842,754,1,891218251
889,185,4,880180266
897,435,3,879991069
397,58,5,885349202
807,968,4,892530498
887,1051,4,881378773
203,237,3,880434411
655,1380,4,887425625
835,272,4,891035309
883,45,5,891695570
671,210,5,884035892
148,969,4,877398513
709,79,3,879846440
629,234,4,880117215
652,286,3,882567012
823,660,5,878438435
893,1215,3,874829287
110,1055,2,886988134
542,952,4,886533193
276,407,2,874792310
343,13,5,876402894
816,349,4,891711554
912,318,4,875966385
846,505,5,883948343
871,435,3,888193336
608,286,4,880402272
240,307,4,885775683
717,250,1,884715146
297,248,3,874954814
823,218,4,878438232
