userId,movieId,rating,timestamp
669,427,4,892550137
717,290,3,884642738
119,137,5,886176486
222,393,4,878184028
416,792,4,876699526
601,840,2,876347599
1,115,5,878541637
773,169,5,888539232
627,510,4,879529730
236,427,5,890118153
108,931,2,879880190
606,183,5,880926162
724,690,1,883757468
554,151,4,876550100
577,118,3,880471658
627,582,3,879529916
189,661,4,893265569
13,881,2,881514876
624,181,4,879792378
64,228,4,889739438
129,906,5,883245310
749,879,4,878846449
655,904,5,887473639
758,7,5,881975243
734,198,1,891022734
551,95,5,892783791
762,116,1,878719186
42,523,5,881107375
286,741,4,876521887
436,1058,4,887770547
514,48,4,875318114
621,584,5,874965094
525,762,4,881085917
654,169,5,887864275
184,396,3,889910326
524,484,4,884634646
749,144,5,878847835
508,132,5,883767279
487,1440,4,884045494
387,27,1,886483252
346,3,3,875265392
308,134,5,887737686
714,477,2,892777408
234,770,4,892335920
578,1264,3,890939815
624,591,3,879792557
655,124,3,887426087
763,88,4,878918486
425,2,2,878738757
495,523,5,888632155
