userId,movieId,rating,timestamp
32,294,3,883709863
90,382,5,891383835
286,208,4,877531942
293,685,3,888905170
216,144,4,880234639
166,328,5,886397722
250,496,4,878090499
271,132,5,885848672
160,174,5,876860807
265,118,4,875320714
198,498,3,884207492
42,96,5,881107178
168,151,5,884288058
110,307,4,886987260
58,144,4,884304936
90,648,4,891384754
271,346,4,885844430
62,21,3,879373460
279,832,3,881375854
237,514,4,879376641
94,789,4,891720887
128,485,3,879966895
298,317,4,884182806
44,195,5,878347874
264,200,5,886122352
194,385,2,879524643
72,195,5,880037702
222,750,5,883815120
250,264,3,878089182
41,265,3,890687042
224,245,3,888082216
82,135,3,878769629
262,1147,4,879791710
293,471,3,888904884
216,658,3,880245029
250,140,3,878092059
59,23,5,888205300
286,379,5,877533771
244,815,4,880605185
7,479,4,891352010
174,368,1,886434402
87,274,4,879876734
194,1211,2,879551380
82,1134,2,884714402
13,836,2,882139746
13,272,4,884538403
244,756,2,880605157
305,427,5,886323090
95,787,2,888954930
43,14,2,883955745
