userId,movieId,score
196,655,5.0
196,67,5.0
196,663,5.0
196,286,5.0
196,692,5.0
196,8,5.0
196,285,5.0
196,153,5.0
196,393,4.0
196,381,4.0
186,566,5.0
186,470,5.0
186,925,5.0
186,322,5.0
186,71,5.0
186,44,5.0
186,117,5.0
186,939,5.0
186,226,5.0
186,300,5.0
22,128,5.0
22,258,5.0
22,510,5.0
22,173,5.0
22,186,5.0
22,96,5.0
22,403,5.0
22,435,5.0
22,176,5.0
22,550,5.0
244,154,5.0
244,89,5.0
244,652,5.0
244,238,5.0
244,743,5.0
244,237,5.0
244,509,5.0
244,101,5.0
244,179,5.0
244,208,5.0
166,328,5.0
166,322,5.0
166,300,5.0
166,323,5.0
166,984,5.0
166,347,5.0
166,313,5.0
166,258,4.0
166,343,4.0
166,894,4.0
298,8,5.0
298,498,5.0
298,496,5.0
298,237,5.0
298,502,5.0
298,651,5.0
298,71,5.0
298,178,5.0
298,483,5.0
298,527,5.0
115,8,5.0
115,127,5.0
115,234,5.0
115,530,5.0
115,466,5.0
115,511,5.0
115,642,5.0
115,32,5.0
115,475,5.0
115,89,5.0
253,465,5.0
253,510,5.0
253,183,5.0
253,483,5.0
253,198,5.0
253,127,5.0
253,173,5.0
253,527,5.0
253,117,5.0
253,87,5.0
305,427,5.0
305,483,5.0
305,50,5.0
305,189,5.0
305,923,5.0
305,529,5.0
305,209,5.0
305,216,5.0
305,169,5.0
305,357,5.0
6,14,5.0
6,98,5.0
6,492,5.0
6,469,5.0
6,211,5.0
6,475,5.0
6,134,5.0
6,525,5.0
6,523,5.0
6,481,5.0
62,182,5.0
62,433,5.0
62,132,5.0
62,258,5.0
62,421,5.0
62,8,5.0
62,89,5.0
62,173,5.0
62,318,5.0
62,176,5.0
286,1014,5.0
286,379,5.0
286,288,5.0
286,153,5.0
286,175,5.0
286,73,5.0
286,85,5.0
286,1316,5.0
286,34,5.0
286,689,5.0
200,222,5.0
200,673,5.0
200,318,5.0
200,304,5.0
200,96,5.0
200,365,5.0
200,11,5.0
200,588,5.0
200,478,5.0
200,227,5.0
210,204,5.0
210,97,5.0
210,527,5.0
210,274,5.0
210,357,5.0
210,161,5.0
210,135,5.0
210,631,5.0
210,134,5.0
210,404,5.0
224,22,5.0
224,662,5.0
224,1039,5.0
224,318,5.0
224,97,5.0
224,313,5.0
224,402,5.0
224,77,4.0
224,69,4.0
224,178,4.0
303,69,5.0
303,134,5.0
303,161,5.0
303,176,5.0
303,209,5.0
303,435,5.0
303,182,5.0
303,179,5.0
303,1007,5.0
303,203,5.0
122,387,5.0
122,715,5.0
122,708,5.0
122,212,5.0
122,70,5.0
